Juego; Calificacion Critico; Calificacion Usuario; Promedio
Xenoblade Chronicles;92;9.1;50
Kid Icarus: Uprising;83;8.7;45
3D Classics: Kid Icarus;77;7.4;42
Inazuma Eleven 2: Firestorm;74;8.6;41
Inazuma Eleven 2: Blizzard;74;8.2;41
Mario Party 9;73;6.8;39
PokePark 2: Wonders Beyond;60;7.7;33
Dillon's Rolling Western;65;7.6;36
Rhythm Heaven Fever;83;8.3;45
One Piece: Unlimited Cruise SP;46;6.8;26
Sakura Samurai: Art of the Sword;74;7.3;40
Pro Wrestling;;;0
The Legend of Zelda: Link's Awakening DX;;;0
Super Mario Land;;;0
Deer Drive Legends;;;0
Swapnote;;7.3;0
Pushmo;90;8.3;49
Fortune Street;68;7.6;37
Mario Kart 7;85;8.2;46
The Legend of Zelda: Skyward Sword;93;8.1;50
3D Classics: Kirby's Adventure;77;7.9;42
Fossil Fighters: Champions;68;7.9;37
Super Mario 3D Land;90;8.4;49
Freakyforms: Your Creations, Alive!;68;7.7;37
Kirby's Return to Dream Land;77;8.8;42
Pokemon Rumble Blast;56;6.8;31
Professor Layton and the Last Specter;83;8.1;45
Tetris Axis;74;7.1;40
The Legend of Zelda: Four Swords Anniversary Edition;85;7.5;46
3D Classics: TwinBee;68;7.3;37
Kirby Mass Attack;83;7.9;45
Dragon Quest Monsters: Joker 2;77;7.6;42
Star Fox 64 3D;81;8.1;44
Inazuma Eleven;74;7.9;40
3D Classics: Urban Champion;37;4.8;20
3D Classics: Xevious;56;5.8;30
Nintendo Video;;5.9;0
Mystery Case Files: The Malgrave Incident;65;7.4;36
The Legend of Zelda: Ocarina of Time 3D;94;9.0;51
Wii Play: Motion;60;6.4;33
Pokedex 3D;69;6.6;37
3D Classics: Excitebike;;6.6;0
Nintendogs + Cats: Golden Retriever & New Friends;71;7.2;39
Pilotwings Resort;71;7.2;39
Steel Diver;58;6.3;32
Nintendogs + Cats: Toy Poodle & New Friends;71;7.5;39
Nintendogs + Cats: French Bulldog & New Friends;71;7.1;39
AR Games;;7.1;0
Face Raiders;;7.2;0
StreetPass Mii Plaza;;7.7;0
